k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,,
-1,0,0,0,,,,,,,,0,0 0 0 0 0 0 0 0 0 0 0 0,,
0,1,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
0,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
0,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
0,,,,,,,,,,,0,,,
1,1,0,0,,,,,,,,0,0 0 0 0 0 0 0 0 0 0 0 0,,
1,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
1,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
1,,,,,,,,,,,0,,,
2,1,0,3,i=Q^{1}(\iota),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,a
2,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
2,4,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
2,,,,,,,,,,,,,,
3,1,0,0,,,,,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,,
3,3,0,0,,,,,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,,
3,5,0,0,,,,,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,,
3,7,0,0,,,,,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,,
3,,,,,,,,,,,,,,
4,1,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
4,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
4,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
4,6,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
4,,,,,,,,,,,,,,
5,1,0,3,Q^{1}(\alpha_{1}),,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
5,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
5,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
5,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
5,,,0,,,,,,,,,,,
6,1,0,3,\overline{Q}^{1}(\alpha_{1}),,,,,,,1,1 0 0 0 0 0 0 0 0 0 0 0,,
6,3,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
6,5,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
6,7,0,0,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0,,
