id,display,kinds,k,n,orders,latex,
0,0,0,0,0,0,0,
1,\alpha_{1},0,3,3,3,\alpha_{1}(,
2,\alpha_{2},0,7,3,3,\alpha_{2}(,
3,\beta_{1},1,10,5,9,\beta_{1}(,
4,\alpha_{3},0,11,3,3,\alpha_{3}(,
5,\alpha'_{3},0,11,5,9,\alpha'_{3}(,
6,\alpha_{4},0,15,3,3,\alpha_{4}(,
7,\alpha_{5},0,19,3,3,\alpha_{5}(,
8,P(Q^{2}(\iota)),3,6,3,3,P(Q^{2}(\iota)),\alpha_1(3)^2
9,\alpha_{4}^{*}(,0,14,3,3,\alpha_{4}^{*}(,
10,P(Q^{2}(\beta_{1})),3,16,3,3,P(Q^{2}(\beta_{1})),
11,P(\overline{Q}^{2}(\beta_{1})),3,17,3,3,P(\overline{Q}^{2}(\beta_{1})),
12,\alpha_{5}^{*}(,0,18,3,3,\alpha_{5}^{*}(,
13,\Delta(v(7)),3,21,5,3,\Delta(v(7)),
14,v(,2,21,7,3,v(,"\xi(a,b)"
15,\alpha_{6}^{*}{'}(,0,22,3,3,\alpha_{6}^{*}{'}(,
16,\alpha_{6}^{*}(,0,22,3,3,\alpha_{6}^{*}(,
17,P(b),3,28,9,3,P(b),
18,"\xi(ab,b^{2})",4,31,7,3,"\xi(ab,b^{2})",
19,\alpha_{6},0,23,3,3,\alpha_{6}(,
20,\alpha'_{6},0,23,5,9,\alpha'_{6}(,
21,"\xi(AB,B^{2})",4,24,3,3,"\xi(AB,B^{2})",
22,P(Q^{4}(\beta_{1})),3,24,7,3,P(Q^{4}(\beta_{1})),
23,\alpha_{7}^{*}(,0,26,3,3,\alpha_{7}^{*}(,
24,P(Q^{2}(\beta_{1}^{2})),3,26,3,3,P(Q^{2}(\beta_{1}^{2})),
25,P(\overline{Q}^{3}(\alpha_{4})),3,26,5,3,P(\overline{Q}^{3}(\alpha_{4})),
26,P(\overline{Q}^{4}(\alpha_{3})),3,26,7,3,P(\overline{Q}^{4}(\alpha_{3})),
27,P(\overline{Q}^{5}(\alpha_{2})),3,26,9,3,P(\overline{Q}^{5}(\alpha_{2})),
28,\beta_{2},1,26,9,3,\beta_{2}(,
29,P(\overline{Q}^{6}(\alpha_{1})),3,26,11,3,P(\overline{Q}^{6}(\alpha_{1})),
30,P(Q^{7}(\iota)),3,26,13,3,P(Q^{7}(\iota)),
31,\alpha_{7},0,27,3,3,\alpha_{7}(,
32,P(\overline{Q}^{2}(\beta_{1}^{2})),3,27,3,3,P(\overline{Q}^{2}(\beta_{1}^{2})),
33,\alpha_{1}\beta_{2},0,29,5,3,\alpha_{1}\beta_{2}(,
34,P(\overline{Q}^{4}(\beta_{1})),3,29,9,3,P(\overline{Q}^{4}(\beta_{1})),
35,\alpha_{8}^{*}(,0,30,3,3,\alpha_{8}^{*}(,
36,\alpha_{8},0,31,3,3,\alpha_{8}(,
37,P(b_{2}),3,32,3,3,P(b_{2}),
38,P(B_{2}),3,33,3,3,P(B_{2}),
39,P(B),3,33,11,3,P(B),
40,v,1,33,13,9,v(,
41,\alpha_{9}^{*}(,0,34,3,3,\alpha_{9}^{*}(,
42,"\xi(B^{3},AB^{2})",4,34,3,3,"\xi(B^{3},AB^{2})",
43,\alpha_{9}^{*}{'}(,0,34,5,9,\alpha_{9}^{*}{'}(,
44,P(b^{2}),3,34,7,3,P(b^{2}),
45,,0,34,15,9,,
46,\alpha_{9}^{*(2)}(,0,34,7,27,\alpha_{9}^{*(2)}(,
